Status,Site,City,Metro Area,County,State,Zip Code,Total Acreage,MF Acreage,Zoning,Zoned?,Units,Price,Listed / Unlisted,Date Added,Broker/Referral Source,Rejected Reason,Comments
Under Contract,Radio Station Rd,Greenville,Greenville,Pitt County,NC,27834,20,17,MR,Yes,336,"$3,800,000+broker commission",Listed,06/02/25,Debbie Barber - Kittrellandarmstrong,,
Under Contract,MLK Jr Blvd,New Bern,New Bern,Craven County,NC,28562,14,9-11,I-1,No,250-288,"$4,000,000",Listed,06/02/25,Josh Taylor - SVN,,
Under Contract,450 Lake Murray Blbd,Irmo,Columbia,Lexington,SC,29063,+/-16,+/-12,HM/RT/PD/M-1,No,TBD,$5MM,Listed,06/24/25,Tyler Teal - Colliers,,"This site would need to be an assemblage. 450 Lake Murray Blvd is listed for sale by colliers. We would also need the parcel to the left and to the north. Based on google street view, it looks like Trinity Partners had the piece to the left for sale back in 2023. Please see attached email for a screenshot of that listed number."
Under Contract,"7547 Raeford Rd, Fayetteville, NC",Fayetteville,Fayetteville,Cumberland,NC,28304,14.46,12,CC,Yes,+/-288,"$5,061,000",Listed,10/08/25,Patrick Murray/Neil Grant - Grant-Murray Real Estate,,Recently listed. Could carve out 2-3 AC for commercial user. Zoned for 24 units/AC
LOI,Sheraton CT,Greensboro,Greensboro,Guilford,NC,27410,14.35,14,CU LI,No,TBD,"$3,500,00",Unlisted,06/23/25,Off Market - Houston Hough (commercial realty advisors) has reached out on our behalf,,We are putting together a potential offer for the ownership group to review
LOI,"239 W Mallard Creek Church Rd, Charlotte, NC 28262",Charlotte,Charlotte - University,Mecklenburg,NC,28262,23.61,+/- 13,MDD-O,No,288,TBD,Unlisted,12/09/25,Caldwell Rose - NAI Southern,,Novant paid $7.4MM for site in 2020. Would be more inclined to sell a portion of the site rather than the whole thing. Zoning is tied to a conditional site plan with office/commercial uses and a public road. Would likely need to amend conditional site plan to allow MF.
Under Review,8740 Research Park Dr,Charlotte,Charlotte - University,Mecklenburg,NC,28262,16.8,15-16,,,,,,,,,
Under Review,2801 NC Hwy 68 S,High Point,Greensboro/High Point,Guildford,NC,27265,34,TBD,CU LI,No,TBD,TBD,Unlisted,07/29/25,Laughton Jones,,
Under Review,"2016 Rolling Pines Lane, Wendell, NC 27591",Wendell,Raleigh-Knightdale/Wendell,Wake,NC,27591,20,14.5,PUD,Yes,350,"$10,000,000",Listed,09/09/25,Moss Withers - Lee and Associates,,
Under Review,6115 Holly Springs Rd,Cary,Raleigh-Cary,Wake,NC,27606,14,9,MX,No,276,"$10,000,000",Unlisted,09/09/25,Moss Withers - Lee and Associates,,
Under Review,8060 Renaissance Pkwy,Durham,Durham,Durham,NC,27713,5,5,,Yes,293,"$4,500,000",Unlisted,09/09/25,Brookfield Prioperties,,
Under Review,"Beech Hill Rd, Summerville, SC 29845",Summerville,Charleston,Dorchester,SC,29845,28,28,PD,Yes,TBD,"$25,000/unit",Listed,09/29/25,Fritz Meyer - Meyer Kapp,,
Under Review,W Ashley Circle,Charleston,Charleston,Charleston,SC,29414,21.92,TBD,GP,Yes,TBD,TBD,Unlisted,11/04/25,Seth Clark - Bridge Commercial,,Owner is a retail developer who may want to develop the frontage of this parcel. Need to understand our ability to build within a flood zone. https://issuu.com/kennedyjordan/docs/west_ashley_circle_flyer_06_05_25
Identified,Corner of Berlin G. Myers Pkwy & 9th St.,Summerville,Charleston,Dorchester,SC,29483,10.5,10.5,PUD,Yes,266,TBD,Unlisted,06/30/25,David Lansbury - Berkadia,,"Childress Klein purchased in December 2022, fully entitled, permitted, and designed for 266 units"
Identified,Sheep Island Rd,Summerville,Charleston,Berkeley,SC,29483,13.59,13.59,GB,Yes,+/- 288,TBD,Unlisted,11/04/25,Daniel Reynor - CBRE,,Middleburg has under contract and has been working through entitlements
Identified,"8901 Ocean Highway, Calabash, NC 28467",Calabash,Myrtle Beach,Brunswick,NC,28467,60,TBD,PUD,TBD,TBD,TBD,Listed,10/01/25,Will Sherrod - NAI Charleston,,
Identified,"Dorchester Rd, North Charleston, NC 29418",North Charleston,Charleston,Dorchester,SC,29418,34.33,34.33,R-2/M-1/B-2,Yes,264,TBD,Unlisted,09/29/25,Chip Abernathy - NAI The Litchfield Company,,
Identified,1021 N Front Street,Wilmington,Wilmington,Brunswick,NC,28401,3.5,3.5,CBD,Partially,+/-300,"$6,500,000",d,06/05/25,JLL - Teddy Hobbs/Hunter Barron,,Need to circle back on this in a couple months
Identified,"2643 Hwy 41, Wando, SC 29492",Wando,Charleston,Berkley,SC,29492,6.9,6.9,PD,No,TBD,"$5,800,000",Listed,09/29/25,Tracy Bertuglia,,
Identified,"5401 W Gate City Blvd, Greensboro, NC 27407",Greensboro,Greensboro,Guilford,NC,27407,18.89,18.89,PUD,Yes,312,TBD,Unlisted,09/29/25,Alex Olsen - Wakefield Residential,,
Identified,"1868 River Rd, Johns Island, SC 29455",Johns Island,Charleston,Charleston,SC,29455,18,16,OD_JO-MHC,Yes,300-400,"$10,000,000",Unlisted,10/08/25,Mike Flint,,
Identified,Carnes Crossroads,Goose Creek,Charleston,Berkeley,SC,29486,7.6,7.6,PUD,Yes,+/- 240,TBD,Unlisted,11/04/25,Fritz Meyer - Meyer Kapp,,
Identified,Meadowlark Dr,Winston,Winston Salem,Forsyth,NC,27106,29,15-20,,,,,Unlisted,06/01/25,Off Market,,Site is apparently UC already - follow up in 6 months
Identified,5103 Kelom Street,Greensboro,Greensboro,Guilford,NC,27410,15.8,+/-10,R-3,No,TBD,"$4,950,000",Listed,06/23/25,NAI - Robbie Perkins,,Site has not been brought to market
Identified,925 E President St,Savannah,Savannah,Chatham,GA,31404,19,+/-8,DC,Yes,TBD,$1.5-2MM/Acre Guidance,Listed,06/24/25,Dan Foley - Skyline Associates,,They are ideally looking for someone to take down the whole site. Guidance is $2MM/Acre if the site is to be subdivided for a mutlifamily purchase.
Identified,"3521 Advantage Way - Winston Salem, NC",Winston,Winston Salem,Forsyth,NC,21703,16.85,TBD,GO-L,No,TBD,TBD,Unlisted,06/24/25,Pruitt Health,,Email sent to Pruitt Real Estate leaders on 6/24
Identified,"701 Brigham Rd, Greensboro, NC 27409",Greensboro,Greensboro,Guilford,NC,27409,14.6,14,R-3,No,+/- 250,"$3,600,000",Listed,06/30/25,ARC Real Estate - Andre Cobb,,Andre Cobb currently has the site listed. The site is split between two parcels (10 acres and 4 acres).
Identified,Pooler Town Center,Pooler,Savannah,Chatham,GA,31322,15,15,PUD,Yes,360,"$30,000/unit",Unlisted,01/25/25,Berkadia - Erika Maston,,
Identified,"15 Carolina Point Pkwy, Greenville, SC 29607",Greenville,Greenville,Greenville,SC,29607,+/-40,+/-13,PUD,No,TBD,+/-250,Unlisted,07/08/25,RFA Management Company - Erin Ray,,Erin is the Real Estate Manager for RFA. Was not at all interested during 7/7/2025 phone call. Possibly send unsolicited LOI.
Identified,W Wildcat Blvd,West Ashley,Charleston,Berkley,SC,29414,22,15,LB,No,TBD,TBD,Unlisted,07/08/25,,,"Have spoken with the admin, Whitney multiple times, Need to get in touch with David Whitfield next."
Identified,E Independence Blvd,Indian Trail,Charlotte - Matthews,Union County,NC,28079,14,TBD,,,,,,,,,
Identified,410 Jimmy Deloach Pkwy,Savannah,Savannah,Chatham,GA,31407,104,22,PD,Yes,TBD,TBD,Listed,08/05/25,Cushman and Wakefield - Gilbert & Ezelle,,The plan is to remarket the site in 4-6 months once the entitlements have been squared away. Reminder has been set to follow up then.
Identified,"7420 Okelly Chapel Rd Cary, NC 27519",Cary,Raleigh-Cary,Wake,NC,27519,22,10-12,MX,Yes,250-300,"$6,000,000",Unlisted,10/08/25,,,
Rejected,300 Easley Bridge Rd,Greenville,Greenville,Greenville,SC,29611,3,3,IX,Yes,250,"$10,800,000",Listed,08/12/25,CBRE - Justin Hirsch,,Currently uw to figure out the tax credit input in the model
Rejected,"Cub Creek Apartments 821 E Carver St, Durham, NC 27704",Durham,Raleigh/Durham,Durham,NC,27704,25,+/- 15,PDR,Yes,384,TBD,Unlisted,08/12/25,KDM Development,,
Rejected,860 Weaver Dairy Rd,Chapel Hill,Raleigh/Durham,Orange,NC,27514,44,13,R-3,No,320,"$9,000,000",Unlisted,07/29/25,Ernie Brown - EB Capital,,This deal is currently being taken through a rezoning. Need to get with Ernie on if we want to move forward on it.
Rejected,"Opportunity Dr, Indian Land, SC 29707",Indian Land,Charlotte - Concord - Gastonia,Lancaster,SC,29707,TBD,TBD,PUD,Yes,266,TBD,Unlisted,06/30/25,MPV Properties,,"RedStone Master Plan Phase II. 251 apts, 15 TH, ~8,000 SF of ground-floor retail possibly required to maintain impact fee credits. Off-site infrastructure in place."
Rejected,Loop Rd,Kannapolis,Charlotte - Concord - Gastonia,Cabbarus,NC,28081,27,+/-19,CC,Yes,304,"$4,560,000",Listed,06/24/25,Auer Real Estate Company - Tom Auer,,Bainbridge dropped the site. Stoa previously submitted an LOI here with Canvas to develop apartments/condos.
Rejected,480 Seven Farms Dr,Daniel Island,Charleston,Berkley,SC,29492,5,5,DI-BP,Yes,242,$4.8MM-$6MM,Unlisted,07/08/25,Daniel Raynor - CBRE,,Spoke with Daniel on the site on 7.8.25. He is following back up with Davis Development to see if there's a path forward here.
Rejected,Monticello Commons Drive,Weaverville,Asheville,Buncombe,NC,28787,17,17,C-2,No,200,"$14,900,000",Listed,06/05/25,Azalea Group - Andy Walker (Owner),,Last spoke with the owner (Andy Walker) on 6.5.2025. He let me know that they have received an LOI on the site. Would not let me know for what use. He also said that he was told that the parcel to the south is not for sale. We would need this parcel to get the density required to make the deal underwrite. The rezoning classification only allows for 12 units/acre.
Rejected,"1204 Eastwood Rd, Wilmington, NC 28403",Wilmington,Wilmington,New Hanover,NC,28403,55,TBD,MX,Yes,TBD,$1MM / AC,Unlisted,07/28/25,Trask Land Co.,,Call with Trask leadership 7/28/2025
Rejected,120 Rush Street,South Raleigh,Raleigh,Wake,NC,27603,12.8,12,RX-7,Yes,+/- 280,"$9,00,000",Unlisted,06/05/25,JLL - Teddy Hobbs,,Site was brought to market in 23' and dropped. An affordable group then picked up the site and rezoned it but then dropped it. It is currently being quietly marketed.
Rejected,9671 Spring Boulevard,Savannah,Savannah,Chathan,GA,31419,20,20,RMF-2-15,Yes,300,"$3,500,000",Listed,08/12/25,Alex Phillips - Cushman,,
Rejected,1450 Meeting St,Charleston,Charleston,Charleston,SC,29405,5.62,+/- 5,PD,TBD,328,"$15,000,000",Unlisted,10/21/25,Andy Batkins - Woodlock Capital,,
,,,,,,,,,,,,,,,,,
