,Commercial Acreage,,,,
,,,,,
,Project,Location,Acreage,Square Footage,Building Footprint (SF)
,"Mirage Ave. Crestview, FL 32536","Crestview, FL",4.26,"185,565.60",
,Remaining Freeport Retail,"Freeport, FL",4.43,"192,970.80",
,Remaining Hammond Land,"Hammond, LA",5.05,"219,978.00",
,Starbucks,"Freeport, FL",0.98,"42,688.80","2,000.00"
,Conway,"Gonzales, LA",4.463,"194,408.28",
,Oxford,"Oxford, MS",7.5,"326,700.00","95,500.00"
,Bartlett,"Bartlett, TN",7.19,"313,196.40","25,000.00"
,Lake Murray,"Irmo, SC",4.00,"174,240.00",0.00
,,,,,
,,,,,
,,,,,
,,,,,
,,Totals,37.87,"1,649,747.88","122,500.00"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
