,Commercial Property,,,,,,,,,,,
,,,,,,,,,,,,
,Listed Development,Location,Listed Date,Acreage,Price,Status,DD,Closing,Owner,Purchasing Entity,Broker,Notes
,"Mirage Ave. Crestview, FL 32536","Crestview, FL",6/13/2023,4.26,"$1,400,000.00",Available,,,Bauerle Rd.,,Brett House,The City is working with a big box across the street that could put this parcel in gear if they get it finalized. 
,Remaining Freeport Retail,"Freeport, FL",,4.43,"$4,873,000.00",Available,,,Bauerle Rd.,,Thomas Watson,
,Remaining Hammond Land,"Hammond, LA",,5.05,$0.00,Available,,,Bauerle Rd.,,,
,Starbucks,"Freeport, FL",,0.98,"$950,000.00",Under Contract,1/30/2026,1/30/2026,Bauerle Rd.,SDP Acquisitions LLC,Thomas Watson,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Land Totals,14.72,"$7,223,000.00",,,,,,,
,,,Sq. Ft. Totals," 641,203.20 ",$11.26,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
